fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified
Richard Medhurst,1720315060977897850,202,5,17,73,Palestine,"My message to the people of Gaza and Palestine |   🇵🇸رسالتي إلى أهل غزة وفلسطين

""There are no words to express the shame that we feel about what is happening to you in Gaza; and shame on the world for allowing you to go through this nightmare. 

It is so cruel to see the children of Gaza going to hospital instead of school, and being bombed instead of playing and enjoying life.

We are trying to demonstrate, to educate, and make the world aware of the injustices and cruelty of this criminal entity called ""Israel"". Words cannot express the sorrow that we feel. 

You are truly such a strong and brave people. We believe in you. We are proud of you. You, the people of Palestine, you the people of Gaza, you have shown us what a homeland means to the people whom it truly belongs to.

People of Palestine, people of Gaza, you really resemble your olive trees, whose roots are so deep in this land. Unshakeable. The world with all its might and weapons could never break you because God is in your heart and His words are your swords.

Everyone, from East to West is up in arms about the images that are coming out of Gaza. We support you with our hearts, with our minds, and with our prayers. We are all trying to do our bit, to make your voices, your suffering, and your needs heard. We will never shut up about this genocide. We will get justice for you, whatever it takes.

We know the big powers have abandoned you and betrayed you; they persecute you, just like they persecuted Jesus. But just as Jesus was resurrected, so will Palestine be resurrected. Your pain became the pain of all humankind. The names ""Gaza"" and ""Palestine"" thunder across the globe, as armies of people march for you. And why wouldn't they? Are you not the Defenders of al Aqsa, and the Guardians of al Quds?

Our love, our prayers, and our thoughts are with you, every moment of every day; and God willing you will emerge victorious.""",2023-11-03T05:40:00.000Z,@richimedhurst,TRUE
Iran Observer,1720110060657856522,4346,17,98,904,Palestine,"Hezbollah slogan:

“The next world is the world of Palestine”",2023-11-02T16:06:00.000Z,@IranObserver0,TRUE
Yves Engler,1720304489066873263,197,9,12,108,Palestine,All out for Palestine,2023-11-03T04:58:00.000Z,@EnglerYves,FALSE
Rev Laskaris,1720215849733087474,860,2,33,356,Palestine,🇵🇸 FREE PALESTINE!,2023-11-02T23:06:00.000Z,@REVMAXXING,TRUE
Censored Men,1720262063157596282,5898,69,225,2083,Palestine,🇵🇸 Man is asked why he supports Palestine.,2023-11-03T02:10:00.000Z,@CensoredMen,TRUE
State of Palestine - MFA 🇵🇸🇵🇸,1717872840089735414,157,5,18,126,Palestine,"Martyrs and wounded in the Israeli occupation warplanes targeting of the White #Mosque in Al-Shati Refugee Camp west of Gaza City. It is noteworthy that the #Israeli occupation has destroyed around 38 mosques so far.

#Gaza_under_attack
#Palestine
#Israeliwarcrimes",2023-10-27T11:56:00.000Z,@pmofa,TRUE
Khamenei Media,1719800844927778987,4063,31,225,1111,Palestine,"Power of #faith determines the battle
#Gaza #Palestine",2023-11-01T19:37:00.000Z,@Khamenei_m,FALSE
tas | pipravi's lawyer,1720088071570592132,83607,53,33,42287,Palestine,putting this video on the tl make sure you dont forget who we are fighting for. they arent just numbers or names. they are people with lives and dreams and they deserve to live in a liberated palestine,2023-11-02T14:38:00.000Z,@jemravi,FALSE
Allah Islam Quran,1720166408468955440,7084,33,60,4577,Palestine,🎗️Reminder: Don't stop talking about Palestine.,2023-11-02T19:50:00.000Z,@AllahGreatQuran,TRUE
✧༺༻∞,1720145484226945531,8275,18,9,4665,Palestine,"Free Palestine, Free Sudan, Free Congo, Free Tigray, Free the Uyghurs in China, free every nation facing genocide and colonial occupation. Everyone either turns a blind eye or just never hears abt it. The world is run by disgusting leaders.",2023-11-02T18:26:00.000Z,@frenchmarlboro,FALSE
hasanabi,1720279132649795936,30569,198,666,8029,Palestine,"“free palestine from the river to the sea” means palestinians no longer live in an apartheid state and are free of the occupation and have equal rights & representation, not genocide of the jews.

just like “black lives matter” never meant white lives don’t matter.",2023-11-03T03:18:00.000Z,@hasanthehun,TRUE
☁️ ⁷,1719807321390325770,63928,132,41,30832,Palestine,palestine has existed and will always exist,2023-11-01T20:03:00.000Z,@vmiinii,TRUE
Censored Men,1720112424009752680,3236,70,433,1195,Gaza,🇵🇸🇮🇱 A doctor in Gaza recognises her daughter among those injured in an Israeli attack.,2023-11-02T16:15:00.000Z,@CensoredMen,TRUE
Muhammad Smiry 🇵🇸,1720194439358910655,13033,388,327,8040,Gaza,"Where’s your mom? Dead.

#Gaza",2023-11-02T21:41:00.000Z,@MuhammadSmiry,TRUE
Muhammad Smiry 🇵🇸,1720312109555167234,7883,76,414,1666,Gaza,I am still alive | Gaza,2023-11-03T05:29:00.000Z,@MuhammadSmiry,TRUE
AG,1720076444104319339,3515,11,91,856,Gaza,"Again, Hamas is the official government of Gaza. Every report about low resources should be focused on why they aren’t sharing them with the population.",2023-11-02T13:52:00.000Z,@AGHamilton29,TRUE
United Nations Geneva,1719957517877268677,4384,129,741,2329,Gaza,"“I reiterate my call for an immediate humanitarian ceasefire and for unimpeded humanitarian access to be granted consistently, safely and to scale in order to meet the urgent needs created by the catastrophe unfolding in #Gaza.” - @antonioguterres",2023-11-02T06:00:00.000Z,@UNGeneva,FALSE
Rafael Barajas,1720074815414136979,2347,35,130,1609,Gaza,"Calavera por Gaza

El Holocausto fascista
hoy, en la Gaza, devino
en genocidio sionista
contra el pueblo palestino.

Detengamos la matanza
exigiendo, desde luego,
se declare un cese al fuego.
(Que no muera la esperanza).",2023-11-02T13:46:00.000Z,@fisgonmonero,FALSE
Samuel Ramani,1719975277202170272,10220,91,169,3373,Gaza,"Russia shelled 118 settlements in Ukraine yesterday

The most intense shelling of 2023 

Gaza might have people's attention but the Ukraine War is still raging",2023-11-02T07:10:00.000Z,@SamRamani2,TRUE
Edwy Plenel,1719978924698960056,1056,12,83,694,Gaza,Le Syndicat des journalistes palestiniens interpelle les médias occidentaux sur leur respect éthique des « normes journalistiques de base » dans leur couverture du massacre en cours à #Gaza. Il dénombre 25 journalistes tués depuis le 7 octobre. pjs.ps/palestinian-journalis…,2023-11-02T07:25:00.000Z,@edwyplenel,TRUE
Israel Defense Forces,1720314833306816815,1164,17,248,232,Gaza,"Soldiers from the Golani Brigade’s 13th Battalion and the Armored Corps’ 53rd Battalion clashed with multiple terrorist squads inside Gaza overnight. 

The terrorists fired anti-tank missiles at the troops, activated a number of IEDs and attempted to climb onto one of the troop’s vehicles. 

Soldiers on the ground directed aircraft and artillery strikes—neutralizing the terrorists and their threats.",2023-11-03T05:39:00.000Z,@IDF,TRUE
Arielle Cohen.,1720187580828766448,3420,57,125,1556,Gaza,"I’m at 30th Street Station where the largest interfaith civil disobedience demanding a #CeasefireNOW since the crisis in Gaza just began. Multifaith, multiracial, multigenerational Philadelphians have gathered to say stop the genocide of Palestinians — Ceasefire now! #LetGazaLive",2023-11-02T21:14:00.000Z,@ariellecohen,FALSE
Salma Fareed,1720183362982191522,28,0,0,29,Gaza,"Humanity is dead, living consciences are dead🇵🇸💔
#gaza",2023-11-02T20:57:00.000Z,@Salma_Fareed_,FALSE
Jeremy Corbyn,1720140015034888197,28570,241,2053,8281,Gaza,"It has been a wonderful joy to meet teachers and children in Gaza over the years – and learn from their empathy, curiosity and humanity.

I don’t know if those teachers or children are still alive. I don’t know.

Please, we need a ceasefire, now.",2023-11-02T18:05:00.000Z,@jeremycorbyn,TRUE
The Muslim,1720306825885798755,256,4,10,120,Gaza,"Korean, Daud Kim boycotting Israeli products.
#FreePalestine #غزة_تنتصر #Gaza #GazaGenoside",2023-11-03T05:08:00.000Z,@TheMuslim786,TRUE
a y .,1720260380554039341,1223,539,321,657,Gaza,"Berita terkini: Dewan Perwakilan Rakyat Amerika baru saja memutuskan untuk memberi Israel lebih banyak senjata agar semakin memperdalam keterlibatan AS dalam serangan genosida Israel terhadap warga Palestina di Gaza. Biaya yang akan mereka keluarkan kali ini sebanyak USD 14,3 M (IDR 226.46 T). Hari yang memalukan di kongres.",2023-11-03T02:03:00.000Z,@kucinggendut__,FALSE
Abier,1720294035267469592,479,11,18,425,Gaza,"Most probably without anesthesia this kid is laid on the floor for a life- saving surgery in a storage room.

I’m literally watching humanity dying 

America and the west in general not only allowing it, you are bankrolling this horror .

#Gaza 
#Israel",2023-11-03T04:17:00.000Z,@abierkhatib,FALSE
Jackson Hinkle 🇺🇸,1720182222106366207,42919,536,1471,21425,Israel,🚨🇮🇱 ISRAEL IS A TERRORIST STATE!,2023-11-02T20:52:00.000Z,@jacksonhinklle,TRUE
Mr.X,1720318747037356471,0,0,0,0,Israel,Dimintain bukti malah pamer penyakit Lo nek 🤣 emang sakit Lo 🤣,2023-11-03T05:55:00.000Z,@ze5585,FALSE
Mehdi Hasan,1720215711925043260,5214,181,346,2883,Israel,"Israel's ministers, parliamentarians, generals, president, & prime minister have all said stuff about Gaza that *sounds* genocidal to a lot of experts on genocide. 

I laid out the evidence on the @MehdiHasanShow. 

Israeli officials, in their own words:",2023-11-02T23:06:00.000Z,@mehdirhasan,TRUE
Fatima Meer,1720318746550472887,0,0,0,0,Israel,ALLAH Israel ko jaldi tabha o barbad kry ameen,2023-11-03T05:55:00.000Z,@FatimaM24097738,FALSE
Censored Men,1720289705726509224,900,80,387,158,Israel,🇮🇱 Israel has to have the zestiest “army” of all time.,2023-11-03T04:00:00.000Z,@CensoredMen,TRUE
El Necio,1720121850720649634,926,22,35,679,Israel,"Hoy estamos ante el mapa más legítimo y realista para saber quiénes amparan el crimen, la opresión y el GENOClDl0 planificado. Los únicos países del mundo que no apoyaron la Resolución contra el Bloqueo a Cuba fueron: EEUU 🇺🇸, Israel 🇮🇱 y Ucrania 🇺🇦

NO ES COINCIDENCIA",2023-11-02T16:53:00.000Z,@ElNecio_Cuba,TRUE
GARANGAN ISTANA,1720318746278121560,0,0,0,0,Israel,"pro zionis skrg pro palestina mungkin dapat hidayah lewat jokowi

yg pro zionis kemakan freming yg baik2 oleh media,tertiba skrg duarrr ,,,
kekejian,kekejaman israel membunuhi warga sipil tanpa belas kasihan

sma dulu yg pro jokowi termakan freming merakyat

skrg duarr,,bangsat",2023-11-03T05:55:00.000Z,@khojan_,FALSE
🍉🍉🍉,1720318746110423351,0,0,0,0,Israel,"fuck u and fuck israel 🖕
ZIONIST ISRAEL are BABY KILLERS
ZIONIST ISRAEL is a TERRORIST STATE
#FreePalestineFromZionist",2023-11-03T05:55:00.000Z,@jklovingjin,FALSE
y☆,1718722123600998576,75640,322,136,40458,Israel,israel is bombing three countries at the same time (4 if we count egypt) yet some are still thinking theyre the victim ?,2023-10-29T20:11:00.000Z,@elliesmei,FALSE
Dr. Anastasia Maria Loupis,1720114643715162238,6382,447,619,3660,Israel,"Zionist woman, who supports Israel, says that all anti-Zionist Torah Jews should be killed in gas chambers, that Hitler should have killed them all, and that he made a mistake by not killing them all.🇮🇱",2023-11-02T16:24:00.000Z,@DrLoupis,TRUE
Ashok Swain,1720119288202203194,6296,115,436,4771,Israel,Israel is raining down bombs on the Gaza city - when will the world wake up?,2023-11-02T16:42:00.000Z,@ashoswai,TRUE
George Galloway,1720143244904878304,7365,78,388,3211,Israel,What is the point of Indonesia giving a hospital to #Gaza if it does nothing while it is destroyed ? What’s the point of Turkey giving a cancer hospital and then doing nothing while Israël destroys it? What’s the point of UN schools clinics and food services in Gaza if a member of the UN can bomb them with illegal weapons without consequence? What’s the point…,2023-11-02T18:18:00.000Z,@georgegalloway,TRUE
Mr Sinha,1720091278782890281,9675,19,167,2910,Palestine,"-Turkey built a big wall to stop MusIim refugees

-Pakistan destroyed homes of Afghani refugees

-Egypt refused to accept Palestinian refugees

-Shame on India for not giving voting rights to Rohingya MusIims & not sending Army to fight for #Palestine",2023-11-02T14:51:00.000Z,@MrSinha_,TRUE
Fatima,1720318744935670237,0,0,0,0,Palestine,"Beyond words..

#Palestine",2023-11-03T05:55:00.000Z,@fatimahshaykh,TRUE
nat 🦐📀,1720196680493195319,12570,13,7,8859,Palestine,do NOT stop speaking about Palestine if a ceasefire is called. That is NOT the end goal. Do not put it past israel to break the agreement either,2023-11-02T21:50:00.000Z,@tomoyo_pocoyo,FALSE
SHUAKE LESBIANISM,1719063866343329941,2781,11,5,2113,Palestine,"genocide is happening in different parts of the world rn: palestine, syria, lebanon, congo, sudan (darfur), haiti, armenia, india (kashmir), myanmar (rohingya), turkey (kurdistan) and MANY MORE. from this sheer amount only, world leaders are really aiming to normalize genocide.",2023-10-30T18:48:00.000Z,@clotifiles,FALSE
🇵🇸,1720191894616199467,26612,42,31,11716,Palestine,"🫒 Admist the olive trees, 
our heritage takes hold, 
A mosaic of history, 
A story to be told. 

Children taken too soon, innocence undone,
I wish they could witness a free Palestine's sun.

In a land where love runs deep and true,
My country, my people, I stand with you. 🍉🇵🇸🕊️",2023-11-02T21:31:00.000Z,@mariyyum,FALSE
atiyyah 🇵🇸*ೃ༄,1719665826075234583,49652,126,57,24426,Palestine,"‘death to arabs’ is perfectly fine but ‘from the river to the sea, palestine will be free’ is antisemitic?",2023-11-01T10:40:00.000Z,@atiyyahballim,TRUE
